co_cli;tip_cli;cli_des;ven_des
"190015580       ";"00    ";AUTOPERIQUITO Y LUBRICANTES J.G RODRIGUEZ , F.P.;HEMIL GUERRERO
"19022506        ";"00    ";BARBARA RODRIGUEZ;OFICINA
"19023955        ";"00    ";ARMANDO QUINTERO;JOSE FELIX ALVAREZ
"19065225        ";"00    ";JOSE LUIS VELASQUEZ RONDON;JOSE FELIX ALVAREZ
"19065346        ";"00    ";MARCO GARCIA;JOSE FELIX ALVAREZ
"19084215        ";"00    ";JHON MONSALVE;JOHENDER GIRO
"19123088        ";"00    ";LUIS AVILA;OFICINA
"19153488        ";"00    ";WITEN MENDEZ;DOUGLAS BOCOURT
"19159600        ";"00    ";ROQUE DEPAZO;DOUGLAS BOCOURT
"19194260        ";"00    ";OSCAR RODRIGUEZ;JOSE FELIX ALVAREZ
"19218131        ";"00    ";ADRIAN RICCI;MERCADOLIBRE
"19223094        ";"00    ";EMMANUEL MARQUEZ;OFICINA
"19224220        ";"00    ";JOSE GREGORIO TEXEIRA;FRANCISCO CARVAJAL
"19235675        ";"00    ";EVELIN NOVA;DOUGLAS BOCOURT
"19267946        ";"00    ";YONATHAN ALEXANDER VILLAROEL;OFICINA
"19269876        ";"00    ";ERNESTO AVENDAÑO;RM OFICINA
"19273417        ";"00    ";ALEJANDRA WETTER;FRANCISCO CARVAJAL
"19284447        ";"00    ";JOSE ANTONIO RODRIGUEZ PEREZ;OFICINA/ LUIS PULIDO
"19288454        ";"00    ";CARLOS ALVAREZ;OFICINA
"19289683        ";"00    ";MARIAN LOPEZ;Luis Lira
"19291972        ";"00    ";CAROL ANDREA MARQUEZ HOYOS;DOUGLAS BOCOURT
"19310419        ";"00    ";EDWIN AVENDAÑO;OFICINA
"19314517        ";"00    ";DIEGO GARCIA;JOSE FELIX ALVAREZ
"19320295        ";"00    ";OMAR ORTIZ;OFICINA
"19321550        ";"00    ";KARELLYS RUIS;OFICINA
"19334188        ";"00    ";ROBERTO LOPEZ;JOSE FELIX ALVAREZ
"19363333        ";"00    ";ALBERT GONZALEZ;DOUGLAS BOCOURT
"19363831        ";"00    ";JOSE MANUEL OJEDA;OFICINA/ LUIS PULIDO
"19366534        ";"00    ";JESUS ESCALANTE;OFICINA
"19379104        ";"00    ";CARLOS RODRIGUEZ;JOSE FELIX ALVAREZ
"19390299        ";"00    ";JOSE EDUARDO LEDEZMA;OFICINA
"19397233        ";"00    ";WILIAMS MEJIAS;OFICINA
"19400170        ";"00    ";DIEGO NIETO;DOUGLAS BOCOURT
"19426770        ";"00    ";SEBASTIAN GALLO;MERCADOLIBRE
"19438163        ";"00    ";DAYANA MENESES;OFICINA
"19444650        ";"00    ";ALEXANDER MUÑOZ;IVAN MACUCHA
"19449116        ";"00    ";EDIXON JOSE PIRONA PIRELA;OFICINA
"19454974        ";"00    ";ABRAHAM OROZCO;YEIMI
"19477368        ";"00    ";ANDRES REVETI;JOSE FELIX ALVAREZ
"19479909        ";"00    ";WILLIAN RAFAEL CAMPOS CAMPOS;OFICINA/ LUIS PULIDO
"19491191        ";"00    ";MANUEL EDUARDO MORA PEREZ;JOHENDER GIRO
"19508378        ";"00    ";ANNLIZABETH LOPEZ;DOUGLAS BOCOURT
"19514837        ";"00    ";DIEGO YAÑEZ;OFICINA
"19518756        ";"00    ";DANIELA MATHEUS;JOHENDER GIRO
"195324707       ";"00    ";PEREIRA GONZALEZ CARLOS ALEXIS;KELLENYN GRITTA SAKKAL GUERRERO
"19548850        ";"00    ";MOISES PEREZ;FRANCISCO CARVAJAL
"19558290        ";"00    ";LEIDY BALLESTEROS;JOHENDER GIRO
"19572959        ";"00    ";JESUS BUONPENSIERI;DOUGLAS BOCOURT
"19606253        ";"00    ";MAURICIO DOANATIELLO;JOHENDER GIRO
"19636990        ";"00    ";JAVIER GONZALEZ;OFICINA
"19644180        ";"00    ";MAIKOL ROJAS;OFICINA
"19658919        ";"00    ";JHON SOSA;OFICINA
"19671775        ";"00    ";KEIVER ROA;JOSE FELIX ALVAREZ
"19693389        ";"00    ";MARCOS FREITAS;OFICINA
"19734615        ";"00    ";ENDRY SUBERO;JOSE FELIX ALVAREZ
"19739311        ";"00    ";GABRIEL BASTIDAS;OFICINA
"19752862        ";"00    ";JARRISON SULBARAN;JOHENDER GIRO
"19756770        ";"00    ";LUIS BATISTA;FRANCISCO CARVAJAL
"19761167        ";"00    ";ARMANDO IRURETA;RM OFICINA
"197644539       ";"00    ";MISLEB ALEXANDRA ALLEN MARTINEZ Y/O INVERSONES MISLEB ALLEN;LENIN GONZALEZ
"19794615        ";"00    ";ENDY SUBERO;OFICINA
"19814625        ";"00    ";MIGUEL COLINA;OFICINA
"19819278        ";"00    ";JONATHAN TEXEIRA;OFICINA
"19820446        ";"00    ";DANIEL RANGEL;DOUGLAS BOCOURT
"19868359        ";"00    ";ABEL RODRIGUEZ;JOSE FELIX ALVAREZ
"19880237        ";"00    ";JORGE RAMOS;DOUGLAS BOCOURT
"19914216        ";"00    ";KENETT BRICEÑO;OFICINA
"19932433        ";"00    ";ALI DANIEL PEREIRA;FRANCISCO CARVAJAL
"1995636         ";"00    ";LELIS MELO;OFICINA
"19966156        ";"00    ";DUBRESKY ROLDAN;OFICINA
"199914584       ";"00    ";ILIANA DEL VALLE BERASTEGUI APOSTOL;ELVIS MERCADO
"19993017        ";"00    ";FRANCISCO SALAS;OFICINA
"19994565        ";"00    ";EDUARDO CHACAL;OFICINA
"19998552        ";"00    ";LUIS ACEVEDO;OFICINA
"19999918        ";"00    ";GERALDINE BERRIOS;OFICINA
"20007638        ";"00    ";RICHARD BRENKE;JOSE FELIX ALVAREZ
"200077093       ";"00    ";FERROLASA, S.A.;JOEL PETIT
"200086653       ";"00    ";FONDOEFA;OFICINA
"200102799       ";"00    ";COMPLEJO SIDERURGICO NACIONAL, S.A.;LENIN GONZALEZ
"200106263       ";"00    ";SIDERURGICA DEL ORINOCO ALFREDO MANEIRO SIDOR, C.A.;RM OFICINA
"200110872       ";"00    ";CUERPO DE INGENIEROS DE LA GUARDIA NACIONAL;OFICINA
"200112417       ";"01    ";ASFALTADORA MANTENIMIENTO Y CONSTRUCCION VIAL DE GIRARDOT;OFICINA/ LUIS PULIDO
"20011432        ";"00    ";VENEZOLANA DE CEMENTO S.A C.A.;RM OFICINA
"200116536       ";"00    ";MINISTERIO DEL PODER POPULAR PARA EL ECOSOCIALISMO;OFICINA
"200160152       ";"00    ";C V G BAUXILUM C.A.;OFICINA
"200315142       ";"00    ";JAVIER VITALI ZAMBRANO TORRES;HEMIL GUERRERO
"200505          ";"00    ";FRANCISCO DANTA / FREDDY CASTAÑEDA;OFICINA
"200506          ";"00    ";FILTROS NEKUIMA;OFICINA
"200507          ";"00    ";WILKER OLEAGA;OFICINA
"200508          ";"00    ";JESBER;OFICINA
"200509          ";"00    ";JESUS URDANETA;OFICINA
"200510          ";"00    ";JESUS URDANETA;OFICINA
"20053300        ";"00    ";JOSE VILORIA;OFICINA
"20086518        ";"00    ";KAISER ALE DARGHAM;JOSE FELIX ALVAREZ
"20097453        ";"00    ";ANGEL GONZALEZ;RM OFICINA
"20151033        ";"00    ";LUZNERI BRICEÑO;DOUGLAS BOCOURT
"20155998        ";"00    ";JONATHAN HERNANDEZ;FRANCISCO CARVAJAL
"20159192        ";"00    ";ERICK MEJIAS;JOSE FELIX ALVAREZ
"20177107        ";"00    ";GIOVANNI MELEAN;OFICINA
"20178570        ";"00    ";ALEJANDRA GUTIERREZ;ALESSSANDRO MONTANARI
"20179348        ";"00    ";JOSE MANUEL CAMPOS;OFICINA
"20180279        ";"00    ";MAZEN KARNOOB;OFICINA
"20185408        ";"00    ";ANAIS HURTADO;OFICINA
"20186589        ";"00    ";DANIELA CUSCO;OFICINA
"20221368        ";"00    ";JONATHAN GONZALEZ;OFICINA
"20227473        ";"00    ";ROMEO ERCOLE;FRANCISCO CARVAJAL
"20228449        ";"00    ";ALAN PEREIRA;OFICINA
"20229430        ";"00    ";ALBERTO MORENO;FRANCISCO CARVAJAL
"20240151        ";"00    ";CARLOS SALA;OFICINA
"202479142       ";"00    ";JUVIANGELA ESTHER GALINDEZ ILARRAZA;ALEXANDER REVEROL
"20278913        ";"00    ";JESUS ALONSO;OFICINA
"2030520         ";"00    ";OMAR PARILLI;OFICINA
"20335217        ";"00    ";JOSEPH ZAGHAN;JOSE FELIX ALVAREZ
"2035217         ";"00    ";JOSEPH ZAGHAN;OFICINA
"20362953        ";"00    ";RICARDO DI SALVATORE;JOSE FELIX ALVAREZ
"20363033        ";"00    ";JUAN MENDEZ;DOUGLAS BOCOURT
"2038520         ";"00    ";SONIA ANGARITA;OFICINA
"20396113        ";"00    ";ZANIN RODRIGUEZ;JOSE FELIX ALVAREZ
"204124842       ";"00    ";HEDUIN ALEXANDER GIL ARMADA;JOHENDER GIRO
"20416391        ";"00    ";JORGE DI GIUSEPPE;OFICINA
"20421365        ";"00    ";JOSE BUTTO;OFICINA
"20428882        ";"00    ";JUAN CONTESSI;DOUGLAS BOCOURT
"20484448        ";"00    ";ROMULO LAMAS;OFICINA
"20492985        ";"00    ";JEFFERSON MERCADO;OFICINA
"20527256        ";"00    ";LEONARDO FERREIRA;RM OFICINA
"20551107        ";"00    ";MARCOS BRACHO;JOSE FELIX ALVAREZ
"20560306        ";"00    ";JUAN PIZA;OFICINA
"20589203        ";"00    ";JAVIER MACHADO;DOUGLAS BOCOURT
"20613487        ";"00    ";LUIS SANABRIA;OFICINA
"2063935         ";"00    ";SIMON JAIMES;OFICINA
"20642080        ";"00    ";SERGIO CASTRO;RM OFICINA
"20653099        ";"00    ";GONZALO ABARCAS;OFICINA
"20654402        ";"00    ";LUIS DIAZ;DOUGLAS BOCOURT
"20673773        ";"00    ";ERIC REBOLLEDO;JOSE FELIX ALVAREZ
"20728917        ";"00    ";JORGE MORALES;DORIALIS MUCHELL
"207297999       ";"00    ";QUIROGA MARTINEZ ANAIS GABRIELA;YOSCAIDI CHACON
"20746522        ";"00    ";EMMANUEL LAMBAZ;OFICINA
"20747217        ";"00    ";DAVID OLIVEIRA;JOSE FELIX ALVAREZ
"20753929        ";"00    ";ROBERTO MORENO;FRANCISCO CARVAJAL
"20756409        ";"00    ";ADOLFO MARTINEZ;OFICINA
"20760816        ";"00    ";RICARDO TIBERINI;OFICINA
"20771208        ";"00    ";GABRIEL RAMIREZ;YANIRIA ADRIANA GUTIERREZ PEREZ
"20803257        ";"00    ";MARVIN MARRERO;DOUGLAS BOCOURT
"20836294        ";"00    ";ANTONIO JOSE;OFICINA
"20891226        ";"00    ";FRANCISCO ANTONIO OPOPESA;OFICINA
"208912263       ";"00    ";FRANCISCO ANTONIO RAIS OROPEZA;ELVIS MERCADO
"2090550         ";"00    ";FELIX SOJO;JOHENDER GIRO
"2093026         ";"00    ";ELBA ELENA VICENTILLI;OFICINA
"20942049        ";"00    ";EUGENIO FONTELA;JOSE FELIX ALVAREZ
"209687433       ";"00    ";HENRIQUEZ MALDONADO GUSTAVO ADOLFO;JOSÉ DOMINGO TORTOLERO ROMÁN
"20978921        ";"00    ";LEONARDO ANTONIO MARTINEZ;FRANCISCO CARVAJAL
"21006613        ";"00    ";YEBRAIM BERMUDEZ;JOSE FELIX ALVAREZ
"210134634       ";"00    ";INVERSIONES JULIANO CALDERA F.C;ALEXANDER JOSE MALPICA GARCIA
"21013768        ";"00    ";FELIX TEIXEIRA;OFICINA
"21022020        ";"00    ";DONACION;OFICINA
"21030242        ";"00    ";CRISTIAN CAMPOS;JOSE FELIX ALVAREZ
"21034633        ";"00    ";DELFIN ARGOTE;OFICINA
"21071159        ";"00    ";EDGAR BAEZ;FRANCISCO CARVAJAL
"21071366        ";"00    ";INDIRA PEÑA;MERCADEO
"2107865         ";"00    ";JUAN SEQUERA;OFICINA
"21089200        ";"00    ";IVANIS SALAZAR;FRANCISCO CARVAJAL
"21091980        ";"00    ";JOSIBEL PONTE;OFICINA
"21120102        ";"00    ";DIEGO GERIK;OFICINA
"21140739        ";"00    ";OMAR ALVARADO;OFICINA
"21192201        ";"00    ";GEOVANY FLEX;OFICINA
"21213957        ";"00    ";CARLOS BRICEÑO;MERCADOLIBRE
"21282994        ";"00    ";ORLANDO MEJIAS;JOHENDER GIRO
"21283322        ";"00    ";JHANKO TORREALBA;DOUGLAS BOCOURT
"21284580        ";"00    ";JHON TRUJILLO;DOUGLAS BOCOURT
"21291529        ";"00    ";HUGO BRUNICARDI;JOHENDER GIRO
"21374711        ";"00    ";ANDRY SALAS;OFICINA
"21375082        ";"00    ";OSNEL RODRIGUEZ;OFICINA
"21412166        ";"00    ";JOSE ANTONIO VIRARDI;JOSE FELIX ALVAREZ
"21413512        ";"00    ";GABRIEL CONTRERAS;OFICINA
"21413690        ";"00    ";KENY BRUZUAL;JOSE FELIX ALVAREZ
"21424403        ";"00    ";JESUS BRITO;OFICINA
"214244035       ";"00    ";JESUS EDUARDO BRITO MEDINA;OFICINA
"2144534         ";"00    ";JOSE JESUS MARIÑO RINCON;JOSE FELIX ALVAREZ
"21516063        ";"00    ";JAIDER TORRES;JOSE FELIX ALVAREZ
"21516281        ";"00    ";MARIA ARRIETA;OFICINA
"21534450        ";"00    ";RUBEN MAZA;JOSE FELIX ALVAREZ
"21573362        ";"00    ";LENIS ECHENIQUE;JOHENDER GIRO
"21578857        ";"00    ";MANUEL CAMEJO;FRANCISCO CARVAJAL
"21615700        ";"00    ";ISRAEL CONTRERAS;OFICINA
"21615870        ";"00    ";ALBERTO RIZZITELLI;OFICINA
"22019442        ";"00    ";ROBINSON GARCIA;FELIX URBINA
"22026398        ";"00    ";LUIS ESCALONA;OFICINA
"22027809        ";"00    ";ALFREDO LOPEZ;JOHENDER GIRO
"22040599        ";"00    ";MERY DURAN;OFICINA
"22350809        ";"00    ";RODRIGO DIAZ;JOSE FELIX ALVAREZ
"22356533        ";"00    ";JULIO CESAR PARTIDA;DOUGLAS BOCOURT
"22388485        ";"00    ";INGRID GUIA;OFICINA
"224048188       ";"00    ";ELOY ANTONIO GARCIA BORDONES;ALEXANDER JOSE MALPICA GARCIA
"224106935       ";"00    ";LEON RIVAS LENNY YALILETH;CARLOS ALFREDO VILLALOBOS CARUCI
"224140734       ";"00    ";CARLOS ENRIQUE VILLEGAS QUINTERO AUTOLAVADO PREBO;YANIRIA ADRIANA GUTIERREZ PEREZ
"224145361       ";"00    ";MUJICA LOBO ALBERT ALFREDO;RICARDO NATERA
"22522589        ";"00    ";RENIER TOVAR;FRANCISCO CARVAJAL
"22538167        ";"00    ";GERARDO CORDERO;JOHENDER GIRO
"22544412        ";"00    ";EDUARDO MENDEZ;OFICINA
"22570266        ";"00    ";VICTOR DIAZ;OFICINA
"22667087        ";"00    ";HECTOR ALCALA;JOHENDER GIRO
"22898458        ";"00    ";GUILGORYS GUILLERMO ARIAS CHICA;OFICINA
"23038473        ";"00    ";JOSE MONTES;JOHENDER GIRO
"23073670        ";"00    ";JULIETA JIMENEZ;JOHENDER GIRO
"23130949        ";"00    ";GUSTAVO RANGEL;FRANCISCO CARVAJAL
"23146465        ";"00    ";FACUNDO BERRIOS;JOHENDER GIRO
"231642010       ";"00    ";ARISTIZABAL ZULUAGA JOSE HUGO;JOSÉ DOMINGO TORTOLERO ROMÁN
"234351067       ";"00    ";LUIS EDUARDO MARIN CASTILLO;HEMIL GUERRERO
"23527618        ";"00    ";MEIR DOVEK;OFICINA
"23540585        ";"00    ";ANGEL JOVES;OFICINA
"23552580        ";"00    ";ANA MARIA MORAL;OFICINA
"23609691        ";"00    ";ENYERBERTH GIL;OFICINA
"23631705        ";"00    ";MARTA SANCHEZ;OFICINA
"236330873       ";"00    ";ROVI PENA DIESEL, F.P.;RODRIGUEZ JOSE GERARDO
"23685902        ";"00    ";RICARDO CHAUTA;FELIX URBINA
"23690113        ";"00    ";ELVIS JOVES;JOSE FELIX ALVAREZ
"23692696        ";"00    ";MIGUEL ROMERO;DOUGLAS BOCOURT
"23707611        ";"00    ";LUIS SARMIENTO;DOUGLAS BOCOURT
"23708487        ";"00    ";DARIO ANTONIO VIVAS GIL;OFICINA
"23709172        ";"00    ";FRANKLIN MONTILLA;OFELIA CLEMENTE
"237837483       ";"00    ";COMERCIALIZADORA VELCAR DE GLENDARYS CARRILLO VELASQUEZ F.P.;ALEXANDER JOSE MALPICA GARCIA
"23891248        ";"00    ";JOHANA YORVELIN ROBLES MARQUEZ;LENIN GONZALEZ
"23914354        ";"00    ";YONNY JAVIER SANCHEZ SANDOVAL;OFICINA/ LUIS PULIDO
"24063187        ";"00    ";ARGENIS REPILLOZA;DOUGLAS BOCOURT
"24130796        ";"00    ";RICHARD ROMERO;OFICINA
"24155281        ";"00    ";ENDER YUZTY;OFICINA
"24174521        ";"00    ";MARIA FERNANDA BENITEZ;OFICINA
"24178444        ";"00    ";JOSBE VIERA;OFICINA
"24203264        ";"00    ";LICETH TORREGROZA;OFICINA
"24220416        ";"00    ";ANTONIO MELENDEZ;JOSE FELIX ALVAREZ
"24221801        ";"00    ";MARIO MAIA;OFICINA
"24272608        ";"00    ";GABRIEL TORRES;MERCADO LIBRE JF
"24276078        ";"00    ";ALEJANDRA ALVAREZ;OFICINA
"24278249        ";"00    ";JOSE TEJERA;OFICINA
"24300706        ";"00    ";LUIS SANTOS;JOSE FELIX ALVAREZ
"24332215        ";"00    ";JESUS ARRECIART;OFICINA
"24332222        ";"00    ";SHANNON RAMIREZ;FRANCISCO CARVAJAL
"24344322        ";"00    ";RAFAEL SAER;ALESSSANDRO MONTANARI
"24347268        ";"00    ";JOSE TORTOLERO;JOEL PETIT
"24440952        ";"00    ";WILLIAMS BARRIOS;OFICINA
"24533743        ";"00    ";LUIS SANTOS;ALESSSANDRO MONTANARI
"245547117       ";"00    ";CHALGUIN BARGAS LUBRICANTES;JOSÉ DOMINGO TORTOLERO ROMÁN
"24569512        ";"00    ";DANIEL RODRIGUEZ;OFICINA/ LUIS PULIDO
"246311095       ";"00    ";LUZ SOFIA PIMENTEL PANTOJA;HEMIL GUERRERO
"246429720       ";"00    ";EMPRENDIMIENTO NELSON RUJANO;ALEXANDER JOSE MALPICA GARCIA
"24644214        ";"00    ";ALESSANDRO MONTANARI;ALESSSANDRO MONTANARI
"246624107       ";"00    ";JOSE GUILLEN;OFICINA/ LUIS PULIDO
"24674896        ";"00    ";CHRISTIAN POLEO;FRANCISCO CARVAJAL
"24720071        ";"00    ";RAUL RODRIGUEZ;OFICINA
"24721472        ";"00    ";JULIAN CASTILLO;JOSE FELIX ALVAREZ
"24896099        ";"00    ";CARLYS CARVALLO;OFICINA
"24898876        ";"00    ";DANIELA PUELLO;OFICINA
"24901447        ";"00    ";EMMANUEL DE ARCO;MARIO VILORIA
"24969392        ";"00    ";JOSE MIJARES;OFICINA
"249704039       ";"00    ";MADRIZ BERNAL MAURICIO JOSE;HEMIL GUERRERO
"249930250       ";"00    ";EDGAR RODRIGUEZ LEON;FRANCISCO CARVAJAL
"25019874        ";"00    ";GIORGINA BRITO MEDINA;OFICINA
"25216412        ";"00    ";JOSE GONCALVES;DOUGLAS BOCOURT
"25225107        ";"00    ";DOMENICO LAMANNA;OFICINA
"25228624        ";"00    ";LUIS DE FREITAS;OFICINA
"25228625        ";"00    ";LUIS DE FREITAS;OFICINA
"25235848        ";"00    ";JULIO CLEMENTE;JOSE FELIX ALVAREZ
"25253426        ";"00    ";JOSEPH EL CHABAB;OFICINA
"25280354        ";"00    ";DANIEL LOPEZ;DOUGLAS BOCOURT
"25301672        ";"00    ";JOSELIN ALFONZO;JOSE FELIX ALVAREZ
"25344532        ";"00    ";CARLOS SANABRIA;ALESSSANDRO MONTANARI
"25359526        ";"00    ";SIMON DAVILA;OFICINA
"25394311        ";"00    ";GABRIEL FARIAS;JOSE FELIX ALVAREZ
"25518984        ";"00    ";MEY TAPIA;OFICINA
"2553697         ";"00    ";OLGA ROA;OFICINA
"25561654        ";"00    ";BETANIA GIL;OFICINA
"25562367        ";"00    ";LUIS SILVA;DOUGLAS BOCOURT
"25568361        ";"00    ";FRANKLIN MATA;OFICINA
"25741363        ";"00    ";ALEJANDRO BAVUSO;OFICINA
"25751467        ";"00    ";GABRIEL PULIDO;IVAN MACUCHA
"25782172        ";"00    ";FRANCISCO RIBEIRO;JOSE FELIX ALVAREZ
"25831768        ";"00    ";VICTOR DE LAS CASAS;JOSE FELIX ALVAREZ
"25831769        ";"00    ";VICTOR DE LAS CASAS;JOSE FELIX ALVAREZ
"25839890        ";"00    ";SIMON CASANOVA;OFICINA
"25840835        ";"00    ";DEIVID LOPEZ;OFICINA
"25867010        ";"00    ";LEONARDO QUEVEDO;JOSE FELIX ALVAREZ
"25875458        ";"00    ";COMANDANTE RODRIGUEZ;OFICINA
"25909700        ";"00    ";JOSE GUZMAN;OFICINA
"2593            ";"00    ";ACEITE ROGIL, INC;OFICINA/ LUIS PULIDO
"25973940        ";"00    ";RICARDO LORCA;OFICINA
"25985727        ";"00    ";ALAN ZHERNG (ML);ALESSSANDRO MONTANARI
"26034853        ";"00    ";MARIA ALEJANDRA LOPEZ;JOEL PETIT
"26068826        ";"00    ";JORGE CORONA;LENIN GONZALEZ
"26095862        ";"00    ";RUI BRAZAO;RM OFICINA
"26116142        ";"00    ";JESUS ALEJANDRO ESPINOZA;OFICINA
"26166305        ";"00    ";KELLENNYN GRITTA;OFICINA/ LUIS PULIDO
"26179817        ";"00    ";JISSEL BRITO;OFICINA
"26226114        ";"00    ";DAIRETH GAMEZ;OFICINA
"26245872        ";"00    ";HENDER VALBUENA;OFICINA
"26327816        ";"00    ";PEDRO BERROTERAN;OFICINA
"26392390        ";"00    ";ANDRES NACIMIENTO;JOHENDER GIRO
"26546610        ";"00    ";ANTONIO GALAVIZ ALVAREZ;FRANCISCO CARVAJAL
"265609051       ";"00    ";INVERSIONES LA GRAN CHISPA DEL CAUCHO C.M. C.A.;LENIN GONZALEZ
"265640145       ";"00    ";ALFARERIA LA MONUMENTAL C.A.;RM OFICINA
"26572324        ";"00    ";EDWIN CARRASQUEL;OFICINA
"265731348       ";"00    ";ANDRES ALEJANDRO PÉREZ BOCARANDA;JOHENDER GIRO
"265804620       ";"00    ";LUISA ARLENIS UTRERA HERRERA;ALEXANDER REVEROL
"26728332        ";"00    ";LUIS DELGADO;JOSE FELIX ALVAREZ
"26778375        ";"00    ";JOSE VELASQUEZ;FRANCISCO CARVAJAL
"2678077         ";"00    ";MANUEL RACHADELL;OFICINA
"26792568        ";"00    ";LEANDRO HERAS;OFICINA
"26908448        ";"00    ";RICARDO DEL FINO;OFICINA
"26969392        ";"00    ";JOSE MIJARES;JOSE FELIX ALVAREZ
"27127348        ";"00    ";JHONY GARCES;OFICINA
"27208429        ";"00    ";LINO LIBERTELLA;OFICINA
"27242838        ";"00    ";AARON PERDOMO;OFICINA/ LUIS PULIDO
"27277056        ";"00    ";MARLENE VIRRIEL BRUZUAL;JOSE FELIX ALVAREZ
"27377451        ";"00    ";EMMANUEL RIVERA;MERCADO LIBRE JF
"27398908        ";"00    ";FRANCISCO VIVAS;FRANCISCO CARVAJAL
"27481548        ";"00    ";SINAI HEREDIA;OFICINA
"27487157        ";"00    ";DIEGO OJEDA;JOSE FELIX ALVAREZ
"27588084        ";"00    ";JORGE MOGOLLON;ALESSSANDRO MONTANARI
"27609733        ";"00    ";ADRIAN OCHOA;OFICINA/ LUIS PULIDO
"27651190        ";"00    ";LUIS DANIEL AGUILAR;OFICINA
"27714097        ";"00    ";CARLOS PADILLA;OFICINA
"27804898        ";"00    ";ALVANI UZCATEGUI;JOSE FELIX ALVAREZ
"27818836        ";"00    ";LUIS MANUEL DE OLIVEIRA;FRANCISCO CARVAJAL
"27828191        ";"00    ";VICENTE MARQUEZ;OFICINA
"27925136        ";"00    ";MIGUELANGEL MIRENA;OFICINA/ LUIS PULIDO
"28013940        ";"00    ";LUISA RIVERO;FRANCISCO CARVAJAL
"2802749         ";"00    ";GUSTAVO VARGAS;IVAN MACUCHA
"28078061        ";"00    ";VALENTINO OCANDO;JOSE FELIX ALVAREZ
"28136483        ";"00    ";GUSTAVO MARTINEZ;DOUGLAS BOCOURT
"281823155       ";"00    ";MARIA DE LOS ANGELES DE GOUVEIA LA CRUZ Y/O INVERSIONES MARIA DE GOUVEIA F.P.;ALEXANDER JOSE MALPICA GARCIA
"28292600        ";"00    ";ESTHER ZAMBRANO;JOHENDER GIRO
"283460386       ";"00    ";IVAN DE JESUS GARCIA ACEVEDO;REYNALDO HAHN
"28472409        ";"00    ";BERNARDO LANDER;OFICINA
"293495016       ";"00    ";M.P CAUCHOS CA;OFICINA/ LUIS PULIDO
"293521475       ";"00    ";SERVICIOS TECNICOS LAMAR DE ORIENTE C.A.;ERNESTO PINEDA
"293534720       ";"00    ";VALENCIA FIX CARS C.A.;JOSE FELIX ALVAREZ
"293536855       ";"00    ";SUMINISTROS DE CAUCHOS INDUSTRIALES C.A.;RM OFICINA
"293628091       ";"00    ";AUTODETAILING PROFESIONAL 123 C.A.;JOHENDER GIRO
"293668921       ";"00    ";PRODUFERTIL, C.A.;FRANCISCO JAVIER OJEDA RAMIREZ
"293710340       ";"00    ";LA GRAN TERRAZA DEL TORO ROJO Y CISCO, C.A (LA GRAN TERRAZA DEL TORO ROJO Y CISCO, C.A);RODRIGUEZ JOSE GERARDO
"293736811       ";"00    ";SERVICAUCHOS DON VICI C.A.;JOEL PETIT
"293761530       ";"00    ";CAUCHOS VERITAS C.A.;MARIO VILORIA
"293833159       ";"00    ";AUTOLAVADO ECOLOGICO ALIANZA, C.A.;HEMIL GUERRERO
"293835321       ";"00    ";MULTISERVICIOS SANTA PAULA C.A.;RICARDO NATERA
"293844975       ";"03    ";KREMER C.A.;RM OFICINA
"293850878       ";"00    ";HP SPEED RACING, C.A.;OFICINA
"293926602       ";"00    ";EUROCAUCHOS MILENIUM C,A,;MARIA ESCORIHUELA
"293937299       ";"00    ";ANITA CAUCHOS C.A.;RM OFICINA
"293966027       ";"00    ";VARIEDADES HAY DE TODO, C.A.;JOSÉ DOMINGO TORTOLERO ROMÁN
"293979021       ";"00    ";NOVO AUTO, C.A;YOSCAIDI CHACON
"293999022       ";"00    ";MONTACARGAS ALVI C.A.;JOEL PETIT
"294048803       ";"00    ";RUBBERT PATCH SOLUTIONS S.A.;JOHENDER GIRO
"29405636        ";"00    ";INVERSIONES 10336 C.A.;FRANCISCO CARVAJAL
"294056369       ";"00    ";INVERSIONES 10336 C.A.;FRANCISCO CARVAJAL
"294063829       ";"00    ";MULTISERVICIOS L.C.A.M. C.A.;ELVIS MERCADO
"294120750       ";"00    ";INVERSIONES SUGRE LUIS C.A.;JOSE FELIX ALVAREZ
"294127835       ";"00    ";TAVELCA PUERTO CABELLO, C.A.;JOEL PETIT
"294147569       ";"00    ";INVERSIONES Y TRANSPORTES MI NUEVA ESPERANZA C.A.;JOHENDER GIRO
"294187196       ";"00    ";DR  CAUCHO;GABRIEL RAMIREZ
"294188427       ";"03    ";INVERSIONES S.S.& P. COMPAÑIA ANONIMA;RM OFICINA
"294209181       ";"00    ";INVERSIONES GIL GIL C.A;YOSCAIDI CHACON
"294303404       ";"00    ";AUTOMOTRIZ LOS ALTOS R Y D C.A.;LENIN GONZALEZ
"294324690       ";"00    ";AGROCAUCHOS R Y P C.A.;JOEL PETIT
"294366554       ";"00    ";MOTO REPUESTO FASHION,C.A.;GABRIEL RAMIREZ
"294418848       ";"00    ";FRENOS TORRES-TORRES C.A.;YOSCAIDI CHACON
"294421873       ";"00    ";CAUCHOS Y ACCESORIOS PARA AUTOS LA RECTO DE LAS MINAS 2120 C.A.;LENIN GONZALEZ
"294440975       ";"00    ";MULTISERVICIOS KRC C.A.;GABRIEL RAMIREZ
